unit_index,task,band,dyad,ch1_index,ch2_index,ch1,ch2,observed_effect,observed_studentized,p_label_unadjusted,p_label_maxT,label_candidate
941,decision,delta,pair23,11,10,T3,Fp2,0.017623230814933777,0.7148393392562866,0.47370525894821036,1.0,False
942,decision,delta,pair23,11,11,T3,T3,-0.004496756009757519,-0.20382285118103027,0.8446310737852429,1.0,False
943,decision,delta,pair23,11,12,T3,T5,-0.001493144198320806,-0.043024443089962006,0.9628074385122976,1.0,False
944,decision,delta,pair23,11,13,T3,O1,0.0043935105204582214,0.1841985434293747,0.8574285142971406,1.0,False
945,decision,delta,pair23,11,14,T3,O2,0.026392849162220955,1.114693284034729,0.2695460907818436,1.0,False
946,decision,delta,pair23,11,15,T3,F7,0.01877445913851261,0.7737829685211182,0.4415116976604679,1.0,False
947,decision,delta,pair23,11,16,T3,F8,-0.007425045594573021,-0.2975457012653351,0.7620475904819036,1.0,False
948,decision,delta,pair23,11,17,T3,T6,0.028931478038430214,1.2155505418777466,0.21815636872625474,1.0,False
949,decision,delta,pair23,11,18,T3,T4,0.000845148169901222,0.049953632056713104,0.9600079984003199,1.0,False
950,decision,delta,pair23,12,0,T5,P3,0.024212993681430817,0.9901232719421387,0.32693461307738453,1.0,False
951,decision,delta,pair23,12,1,T5,C3,-0.0020673491526395082,-0.08495205640792847,0.9330133973205359,1.0,False
952,decision,delta,pair23,12,2,T5,F3,-0.004082018509507179,-0.17608848214149475,0.8578284343131374,1.0,False
953,decision,delta,pair23,12,3,T5,Fz,0.024923741817474365,0.9640173316001892,0.33513297340531895,1.0,False
954,decision,delta,pair23,12,4,T5,F4,-0.013309239409863949,-0.5892457962036133,0.551489702059588,1.0,False
955,decision,delta,pair23,12,5,T5,C4,-0.012342575937509537,-0.488324910402298,0.6282743451309738,1.0,False
956,decision,delta,pair23,12,6,T5,P4,0.02356071211397648,0.9791929721832275,0.3241351729654069,1.0,False
957,decision,delta,pair23,12,7,T5,Cz,0.00934888981282711,0.4164900481700897,0.674865026994601,1.0,False
958,decision,delta,pair23,12,8,T5,Pz,0.00863275583833456,0.3419278562068939,0.7288542291541692,1.0,False
959,decision,delta,pair23,12,9,T5,Fp1,-0.01647050678730011,-0.7239442467689514,0.46330733853229356,1.0,False
960,decision,delta,pair23,12,10,T5,Fp2,-0.0049332804046571255,-0.180855855345726,0.864627074585083,1.0,False
961,decision,delta,pair23,12,11,T5,T3,0.0297806728631258,1.161614179611206,0.2503499300139972,1.0,False
962,decision,delta,pair23,12,12,T5,T5,0.02311955764889717,0.9452738761901855,0.34953009398120377,1.0,False
963,decision,delta,pair23,12,13,T5,O1,0.023958683013916016,1.066392183303833,0.29474105178964205,1.0,False
964,decision,delta,pair23,12,14,T5,O2,0.015050177462399006,0.7227206826210022,0.46930613877224553,1.0,False
965,decision,delta,pair23,12,15,T5,F7,-0.025561878457665443,-1.1779487133026123,0.23715256948610278,1.0,False
966,decision,delta,pair23,12,16,T5,F8,0.03791632130742073,1.5984697341918945,0.11137772445510898,1.0,False
967,decision,delta,pair23,12,17,T5,T6,0.04231666028499603,1.9650144577026367,0.051789642071585686,1.0,False
968,decision,delta,pair23,12,18,T5,T4,0.02413838729262352,1.0214011669158936,0.3047390521895621,1.0,False
969,decision,delta,pair23,13,0,O1,P3,-0.03589979186654091,-1.4099072217941284,0.16036792641471706,1.0,False
970,decision,delta,pair23,13,1,O1,C3,0.008610700257122517,0.32969021797180176,0.7476504699060188,1.0,False
971,decision,delta,pair23,13,2,O1,F3,-0.01303150225430727,-0.5010610222816467,0.6180763847230554,1.0,False
972,decision,delta,pair23,13,3,O1,Fz,0.02588016167283058,1.043893575668335,0.3001399720055989,1.0,False
973,decision,delta,pair23,13,4,O1,F4,-0.006940250750631094,-0.2732502520084381,0.7878424315136973,1.0,False
974,decision,delta,pair23,13,5,O1,C4,-0.004958940204232931,-0.21555408835411072,0.8346330733853229,1.0,False
975,decision,delta,pair23,13,6,O1,P4,0.027036409825086594,1.0814483165740967,0.27714457108578283,1.0,False
976,decision,delta,pair23,13,7,O1,Cz,-0.033440060913562775,-1.4470881223678589,0.14657068586282743,1.0,False
977,decision,delta,pair23,13,8,O1,Pz,0.008225681260228157,0.3337479829788208,0.7414517096580684,1.0,False
978,decision,delta,pair23,13,9,O1,Fp1,-0.022043395787477493,-0.8685427308082581,0.38552289542091583,1.0,False
979,decision,delta,pair23,13,10,O1,Fp2,0.013835766352713108,0.5406802892684937,0.5832833433313337,1.0,False
980,decision,delta,pair23,13,11,O1,T3,-0.01448084693402052,-0.5587815046310425,0.5718856228754249,1.0,False
981,decision,delta,pair23,13,12,O1,T5,-0.014869187027215958,-0.5582028031349182,0.5732853429314138,1.0,False
982,decision,delta,pair23,13,13,O1,O1,-0.0027162041515111923,-0.10834912210702896,0.9142171565686863,1.0,False
983,decision,delta,pair23,13,14,O1,O2,-0.0404285304248333,-1.642413854598999,0.09758048390321936,1.0,False
984,decision,delta,pair23,13,15,O1,F7,-0.045904193073511124,-1.7441415786743164,0.08518296340731854,1.0,False
985,decision,delta,pair23,13,16,O1,F8,-0.01512850634753704,-0.5824068188667297,0.5698860227954409,1.0,False
986,decision,delta,pair23,13,17,O1,T6,-0.009991246275603771,-0.4651064872741699,0.6514697060587883,1.0,False
987,decision,delta,pair23,13,18,O1,T4,-0.026340974494814873,-1.0798922777175903,0.2861427714457109,1.0,False
988,decision,delta,pair23,14,0,O2,P3,-0.007458427455276251,-0.2877764105796814,0.7742451509698061,1.0,False
989,decision,delta,pair23,14,1,O2,C3,-0.01343803945928812,-0.501252293586731,0.6150769846030794,1.0,False
990,decision,delta,pair23,14,2,O2,F3,0.01302418764680624,0.523271381855011,0.5974805038992201,1.0,False
991,decision,delta,pair23,14,3,O2,Fz,-0.042115602642297745,-1.6618705987930298,0.09618076384723055,1.0,False
992,decision,delta,pair23,14,4,O2,F4,-0.047249630093574524,-1.962430477142334,0.04539092181563687,1.0,False
993,decision,delta,pair23,14,5,O2,C4,0.003770429641008377,0.15308552980422974,0.8862227554489103,1.0,False
994,decision,delta,pair23,14,6,O2,P4,0.044934045523405075,1.877541184425354,0.0637872425514897,1.0,False
995,decision,delta,pair23,14,7,O2,Cz,-0.0007296833209693432,-0.0262006726115942,0.9804039192161568,1.0,False
996,decision,delta,pair23,14,8,O2,Pz,0.0013686512829735875,0.050403937697410583,0.9586082783443312,1.0,False
997,decision,delta,pair23,14,9,O2,Fp1,0.0023580912966281176,0.0891241729259491,0.9324135172965407,1.0,False
998,decision,delta,pair23,14,10,O2,Fp2,0.0029559487011283636,0.13613957166671753,0.8882223555288942,1.0,False
999,decision,delta,pair23,14,11,O2,T3,-0.004047803580760956,-0.18431343138217926,0.8582283543291341,1.0,False
1000,decision,delta,pair23,14,12,O2,T5,-0.016971275210380554,-0.7109999060630798,0.47130573885222954,1.0,False
1001,decision,delta,pair23,14,13,O2,O1,-0.015499823726713657,-0.67347651720047,0.5022995400919816,1.0,False
1002,decision,delta,pair23,14,14,O2,O2,0.003744382644072175,0.1588606834411621,0.870625874825035,1.0,False
1003,decision,delta,pair23,14,15,O2,F7,0.007466617040336132,0.2968532145023346,0.7716456708658268,1.0,False
1004,decision,delta,pair23,14,16,O2,F8,0.008190564811229706,0.3515186011791229,0.7264547090581883,1.0,False
1005,decision,delta,pair23,14,17,O2,T6,0.011279167607426643,0.44696658849716187,0.6586682663467307,1.0,False
1006,decision,delta,pair23,14,18,O2,T4,0.014161715283989906,0.6493640542030334,0.5272945410917816,1.0,False
1007,decision,delta,pair23,15,0,F7,P3,-0.021191462874412537,-0.8541366457939148,0.397120575884823,1.0,False
1008,decision,delta,pair23,15,1,F7,C3,0.005300513003021479,0.19428129494190216,0.8432313537292542,1.0,False
1009,decision,delta,pair23,15,2,F7,F3,-0.0029134678188711405,-0.12400590628385544,0.9012197560487902,1.0,False
1010,decision,delta,pair23,15,3,F7,Fz,0.04393320530653,1.772843837738037,0.07578484303139373,1.0,False
1011,decision,delta,pair23,15,4,F7,F4,-0.006287716794759035,-0.2451411932706833,0.8090381923615277,1.0,False
1012,decision,delta,pair23,15,5,F7,C4,-0.006945620756596327,-0.26891010999679565,0.7914417116576684,1.0,False
1013,decision,delta,pair23,15,6,F7,P4,-0.024976130574941635,-0.9434715509414673,0.34253149370125974,1.0,False
1014,decision,delta,pair23,15,7,F7,Cz,-0.01759628765285015,-0.6567715406417847,0.5066986602679464,1.0,False
1015,decision,delta,pair23,15,8,F7,Pz,-0.025506647303700447,-1.042500376701355,0.3011397720455909,1.0,False
1016,decision,delta,pair23,15,9,F7,Fp1,-0.009679892100393772,-0.4206939935684204,0.6772645470905819,1.0,False
1017,decision,delta,pair23,15,10,F7,Fp2,0.005561565048992634,0.2117866426706314,0.8292341531693661,1.0,False
1018,decision,delta,pair23,15,11,F7,T3,-0.02471371740102768,-1.0577820539474487,0.29094181163767247,1.0,False
1019,decision,delta,pair23,15,12,F7,T5,0.004518999718129635,0.17881569266319275,0.8502299540091982,1.0,False
