group,task,trial_1based,retain_sensitivity,BT_label,flag_source_subjects
G10,decision,14,True,CCC,
G10,decision,15,True,CCC,
G10,decision,16,True,CCC,
G10,decision,17,True,CCC,
G10,decision,18,True,CCC,
G10,decision,19,True,CCC,
G10,decision,20,True,CCC,
G10,decision,21,True,CCC,
G10,decision,22,True,CCC,
G10,decision,23,True,CCC,
G10,decision,24,True,CCC,
G10,decision,25,True,CCC,
G10,decision,26,True,CCC,
G10,decision,27,True,CCC,
G10,decision,28,True,CCC,
G10,decision,29,True,CCC,
G10,decision,30,True,CCC,
G10,decision,31,True,CCC,
G10,decision,32,True,CCC,
G10,decision,33,True,CCC,
G10,decision,34,True,CCC,
G10,decision,35,True,CCC,
G10,decision,36,True,CCC,
G10,decision,37,True,CCC,
G10,decision,38,True,Other,
G10,decision,39,True,Other,
G10,decision,40,True,Other,
G10,feedback,1,True,CCC,
G10,feedback,2,True,CCC,
G10,feedback,3,True,CCC,
G10,feedback,4,True,Other,
G10,feedback,5,True,Other,
G10,feedback,6,True,CCC,
G10,feedback,7,True,CCC,
G10,feedback,8,True,CCC,
G10,feedback,9,True,CCC,
G10,feedback,10,True,CCC,
G10,feedback,11,True,CCC,
G10,feedback,12,True,CCC,
G10,feedback,13,True,CCC,
G10,feedback,14,True,CCC,
G10,feedback,15,True,CCC,
G10,feedback,16,True,CCC,
G10,feedback,17,True,CCC,
G10,feedback,18,True,CCC,
G10,feedback,19,True,CCC,
G10,feedback,20,True,CCC,
G10,feedback,21,True,CCC,
G10,feedback,22,True,CCC,
G10,feedback,23,True,CCC,
G10,feedback,24,True,CCC,
G10,feedback,25,True,CCC,
G10,feedback,26,True,CCC,
G10,feedback,27,True,CCC,
G10,feedback,28,True,CCC,
G10,feedback,29,True,CCC,
G10,feedback,30,True,CCC,
G10,feedback,31,True,CCC,
G10,feedback,32,True,CCC,
G10,feedback,33,True,CCC,
G10,feedback,34,True,CCC,
G10,feedback,35,True,CCC,
G10,feedback,36,True,CCC,
G10,feedback,37,True,CCC,
G10,feedback,38,True,Other,
G10,feedback,39,True,Other,
G10,feedback,40,True,Other,
G11,decision,1,True,Other,
G11,decision,2,False,CCC,sub-G11S03
G11,decision,3,True,Other,
G11,decision,4,True,Other,
G11,decision,5,True,CCC,
G11,decision,6,True,Other,
G11,decision,7,True,Other,
G11,decision,8,True,CCC,
G11,decision,9,True,CCC,
G11,decision,10,True,Other,
G11,decision,11,True,Other,
G11,decision,12,True,CCC,
G11,decision,13,True,CCC,
G11,decision,14,True,Other,
G11,decision,15,False,Other,sub-G11S02
G11,decision,16,True,Other,
G11,decision,17,True,Other,
G11,decision,18,True,Other,
G11,decision,19,False,Other,sub-G11S02
G11,decision,20,True,Other,
G11,decision,21,True,CCC,
G11,decision,22,True,CCC,
G11,decision,23,False,CCC,sub-G11S03
G11,decision,24,True,CCC,
G11,decision,25,True,CCC,
G11,decision,26,True,CCC,
G11,decision,27,True,CCC,
G11,decision,28,True,CCC,
G11,decision,29,True,CCC,
G11,decision,30,True,Other,
G11,decision,31,True,CCC,
G11,decision,32,True,CCC,
G11,decision,33,True,CCC,
G11,decision,34,False,CCC,sub-G11S02
G11,decision,35,True,CCC,
G11,decision,36,True,Other,
G11,decision,37,True,CCC,
G11,decision,38,True,CCC,
G11,decision,39,True,Other,
G11,decision,40,True,Other,
G11,feedback,1,True,Other,
G11,feedback,2,False,CCC,sub-G11S03
G11,feedback,3,True,Other,
G11,feedback,4,True,Other,
G11,feedback,5,True,CCC,
G11,feedback,6,True,Other,
G11,feedback,7,True,Other,
G11,feedback,8,True,CCC,
G11,feedback,9,True,CCC,
G11,feedback,10,True,Other,
G11,feedback,11,True,Other,
G11,feedback,12,True,CCC,
G11,feedback,13,True,CCC,
G11,feedback,14,True,Other,
G11,feedback,15,True,Other,
G11,feedback,16,True,Other,
G11,feedback,17,True,Other,
G11,feedback,18,True,Other,
G11,feedback,19,True,Other,
G11,feedback,20,True,Other,
G11,feedback,21,True,CCC,
G11,feedback,22,True,CCC,
G11,feedback,23,False,CCC,sub-G11S03
G11,feedback,24,True,CCC,
G11,feedback,25,True,CCC,
G11,feedback,26,True,CCC,
G11,feedback,27,True,CCC,
G11,feedback,28,True,CCC,
G11,feedback,29,True,CCC,
G11,feedback,30,True,Other,
G11,feedback,31,True,CCC,
G11,feedback,32,True,CCC,
G11,feedback,33,True,CCC,
G11,feedback,34,True,CCC,
G11,feedback,35,True,CCC,
G11,feedback,36,True,Other,
G11,feedback,37,True,CCC,
G11,feedback,38,True,CCC,
G11,feedback,39,True,Other,
G11,feedback,40,True,Other,
